host	registrable	tld	ip	hosting	function	tier
aff.leadgenbestads100.site	leadgenbestads100.site	site	NODNS	DEAD	affiliate	THROWAWAY
aff.online-store.uno	online-store.uno	uno	NODNS	DEAD	affiliate	THROWAWAY
aff.emancipation-numerique.com	emancipation-numerique.com	com	NODNS	DEAD	affiliate	CORE
aff.silkarcadegood.xyz	silkarcadegood.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
aff.playandwin2021.xyz	playandwin2021.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
aff.mediatrafficleads.xyz	mediatrafficleads.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
aff.spingifts2024.pics	spingifts2024.pics	pics	NODNS	DEAD	affiliate	THROWAWAY
aff.suishoucc.life	suishoucc.life	life	NODNS	DEAD	affiliate	THROWAWAY
aff.topera.online	topera.online	online	108.178.23.116	LIVE-INAP	affiliate	THROWAWAY
aff.signupgov.site	signupgov.site	site	NODNS	DEAD	affiliate	THROWAWAY
aff.urbestchoice.website	urbestchoice.website	website	NODNS	DEAD	affiliate	THROWAWAY
aff.winners2025.site	winners2025.site	site	NODNS	DEAD	affiliate	THROWAWAY
aff.winnerofyear.site	winnerofyear.site	site	NODNS	DEAD	affiliate	THROWAWAY
a.linkabc.click	linkabc.click	click	NODNS	DEAD	other	THROWAWAY
a.free5019.xyz	free5019.xyz	xyz	NODNS	DEAD	other	THROWAWAY
alert.freedeals.xyz	freedeals.xyz	xyz	NODNS	DEAD	other	THROWAWAY
af.odyss.site	odyss.site	site	NODNS	DEAD	other	THROWAWAY
a.link2f.click	link2f.click	click	NODNS	DEAD	other	THROWAWAY
aff.winprizess.website	winprizess.website	website	NODNS	DEAD	affiliate	THROWAWAY
aff.fokstech.com	fokstech.com	com	108.178.23.116	LIVE-INAP	affiliate	CORE
a.gowellbody.info	gowellbody.info	info	NODNS	DEAD	other	THROWAWAY
allday.onemoretogo.cfd	onemoretogo.cfd	cfd	NODNS	DEAD	other	THROWAWAY
all.c.co-ooe.xyz	co-ooe.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
alphabsla1.basla.xyz	basla.xyz	xyz	13.248.169.48	LIVE-ALT	other	THROWAWAY
and.bestallfortoday.click	bestallfortoday.click	click	108.178.23.116	LIVE-INAP	other	THROWAWAY
app.fapelo.us	fapelo.us	us	108.178.23.116	LIVE-INAP	other	THROWAWAY
akk.medioffer.shop	medioffer.shop	shop	108.178.23.116	LIVE-INAP	offer	THROWAWAY
app.lnk.deals	lnk.deals	deals	NODNS	DEAD	other	THROWAWAY
app.shuusaku.site	shuusaku.site	site	NODNS	DEAD	other	THROWAWAY
apprecists.problisted.shop	problisted.shop	shop	NODNS	DEAD	other	THROWAWAY
areyouuready.areyouready333.xyz	areyouready333.xyz	xyz	NODNS	DEAD	other	THROWAWAY
ar.mbcelhelm.store	mbcelhelm.store	store	NODNS	DEAD	other	THROWAWAY
asd.a02seftrk.click	a02seftrk.click	click	NODNS	DEAD	other	THROWAWAY
app.gabbulife.com	gabbulife.com	com	NODNS	DEAD	other	CORE
amteer.fislezcrispcfs.plus	fislezcrispcfs.plus	plus	NODNS	DEAD	other	THROWAWAY
a.tiktoklived.mom	tiktoklived.mom	mom	NODNS	DEAD	other	THROWAWAY
affiliate.znexta.com	znexta.com	com	108.178.23.116	LIVE-INAP	affiliate	CORE
aff.uvnwe.com	uvnwe.com	com	NODNS	DEAD	affiliate	CORE
awa.mertrekdom.live	mertrekdom.live	live	NODNS	DEAD	other	THROWAWAY
attention.service-gate.space	service-gate.space	space	NODNS	DEAD	other	THROWAWAY
bbsla.bbsaa.xyz	bbsaa.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
bg.win-2027.store	win-2027.store	store	108.178.23.116	LIVE-INAP	offer	THROWAWAY
ave.vdoeroz.club	vdoeroz.club	club	NODNS	DEAD	other	THROWAWAY
besti.one	besti.one	one	NODNS	DEAD	other	THROWAWAY
aff.rankspoint.com	rankspoint.com	com	NODNS	DEAD	affiliate	CORE
bbb.qtteg.click	qtteg.click	click	108.178.23.116	LIVE-INAP	other	THROWAWAY
best.winningday.site	winningday.site	site	NODNS	DEAD	offer	THROWAWAY
business.sepakioyen.biz	sepakioyen.biz	biz	NODNS	DEAD	other	THROWAWAY
brakivon.brakivon.shop	brakivon.shop	shop	NODNS	DEAD	other	THROWAWAY-DGA
bl.bluepill.cfd	bluepill.cfd	cfd	NODNS	DEAD	other	THROWAWAY
bounty.leadseagle.shop	leadseagle.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
alpha.flyinmob.com	flyinmob.com	com	108.178.23.116	LIVE-INAP	other	CORE
aop.offernewurl.com	offernewurl.com	com	NODNS	DEAD	offer	CORE
b.win-g.click	win-g.click	click	NODNS	DEAD	offer	THROWAWAY
bestoffers.libinks.com	libinks.com	com	NODNS	DEAD	offer	CORE
cest.tresbonne.store	tresbonne.store	store	NODNS	DEAD	other	THROWAWAY
click.savings.fit	savings.fit	fit	108.178.23.116	LIVE-INAP	tracker	THROWAWAY
app.rwclick.com	rwclick.com	com	108.178.23.116	LIVE-INAP	other	CORE
cl.im.goldprizes.site	goldprizes.site	site	108.178.23.116	LIVE-INAP	tracker	THROWAWAY
cl.luck2026.shop	luck2026.shop	shop	108.178.23.116	LIVE-INAP	tracker	THROWAWAY
cr2.sswtrack.pro	sswtrack.pro	pro	NODNS	DEAD	other	THROWAWAY
cv.clickverification.xyz	clickverification.xyz	xyz	NODNS	DEAD	other	THROWAWAY
dash.carinsure.com.ng	com.ng	ng	108.178.23.116	LIVE-INAP	other	THROWAWAY
aff.makeitnow.click	makeitnow.click	click	103.224.212.217	PARKED	affiliate	THROWAWAY
dit.boatontheriver.life	boatontheriver.life	life	NODNS	DEAD	other	THROWAWAY
demo2.apex-cdn.xyz	apex-cdn.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
d.mne12.store	mne12.store	store	108.178.23.116	LIVE-INAP	other	THROWAWAY
dark.sparknest.lol	sparknest.lol	lol	108.178.23.116	LIVE-INAP	other	THROWAWAY
derr.det.recipesf.site	recipesf.site	site	108.178.23.116	LIVE-INAP	other	THROWAWAY
br.xn--jfxa7451a.xn--6qq986b3xl	xn--jfxa7451a.xn--6qq986b3xl	xn--6qq986b3xl	NODNS	DEAD	other	THROWAWAY
ad.tags123.com	tags123.com	com	108.178.23.116	LIVE-INAP	other	CORE
clk.winknearby.com	winknearby.com	com	108.178.23.116	LIVE-INAP	tracker	CORE
do2.loopterra.help	loopterra.help	help	108.178.23.116	LIVE-INAP	other	THROWAWAY
bonus.aprizedaily.com	aprizedaily.com	com	108.178.23.116	LIVE-INAP	offer	CORE
docs.printabelgenerator.biz.id	biz.id	id	108.178.23.116	LIVE-INAP	other	THROWAWAY
dash.updatesdaily.top	updatesdaily.top	top	108.178.23.116	LIVE-INAP	other	THROWAWAY
aff.7elm.info	7elm.info	info	NODNS	DEAD	affiliate	THROWAWAY
eed.maravilhadepe.quest	maravilhadepe.quest	quest	NODNS	DEAD	other	THROWAWAY
e.e-e-e.world	e-e-e.world	world	NODNS	DEAD	other	THROWAWAY
f.101win.xyz	101win.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
click.prize-win.today	prize-win.today	today	NODNS	DEAD	tracker	THROWAWAY
1001.helptracker.top	helptracker.top	top	NODNS	DEAD	other	THROWAWAY
fb.makemorem.xyz	makemorem.xyz	xyz	NODNS	DEAD	other	THROWAWAY
fft.nomaol.xyz	nomaol.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
fee.tracking775.top	tracking775.top	top	108.178.23.116	LIVE-INAP	other	THROWAWAY
firele.adsleads1.store	adsleads1.store	store	NODNS	DEAD	other	THROWAWAY
dreammbc2021.linkauto1.com	linkauto1.com	com	NODNS	DEAD	other	CORE
free.adgetpromo.xyz	adgetpromo.xyz	xyz	108.178.23.116	LIVE-INAP	offer	THROWAWAY
aff.sixtys7.site	sixtys7.site	site	104.219.250.37	LIVE-NAMECHEAP-PHX	affiliate	THROWAWAY
free.aditms.me	aditms.me	me	108.178.23.116	LIVE-INAP	offer	THROWAWAY
free.chillingtv.space	chillingtv.space	space	NODNS	DEAD	offer	THROWAWAY
dinserve.inber.net	inber.net	net	168.119.79.225	LIVE-ALT	other	CORE
free.freedataph.click	freedataph.click	click	108.178.23.116	LIVE-INAP	offer	THROWAWAY
click.estimatorreclusereformed.com	estimatorreclusereformed.com	com	108.178.23.116	LIVE-INAP	tracker	CORE
free.gf920.com	gf920.com	com	108.178.23.116	LIVE-INAP	offer	CORE
free.happy-tuesday.xyz	happy-tuesday.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
free.goodfall.online	goodfall.online	online	108.178.23.116	LIVE-INAP	offer	THROWAWAY
download.mobilezella.com	mobilezella.com	com	108.178.23.116	LIVE-INAP	other	CORE
free.prizesforyou.buzz	prizesforyou.buzz	buzz	NODNS	DEAD	offer	THROWAWAY
free.happy03gift.cfd	happy03gift.cfd	cfd	108.178.23.116	LIVE-INAP	offer	THROWAWAY
free.onlytoday.gifts	onlytoday.gifts	gifts	NODNS	DEAD	offer	THROWAWAY
flow.samsung.bet	samsung.bet	bet	NODNS	DEAD	other	THROWAWAY
el7elm.mbcdream.cf	mbcdream.cf	cf	NODNS	DEAD	other	THROWAWAY
free.gatemetric.top	gatemetric.top	top	108.178.23.116	LIVE-INAP	offer	THROWAWAY
dao.winknearby.com	winknearby.com	com	108.178.23.116	LIVE-INAP	offer	CORE
frv.smartingtip.digital	smartingtip.digital	digital	NODNS	DEAD	other	THROWAWAY
free.t8cx.com	t8cx.com	com	NODNS	DEAD	offer	CORE
free.winyou.work	winyou.work	work	NODNS	DEAD	offer	THROWAWAY
game.38710.fun	38710.fun	fun	NODNS	DEAD	other	THROWAWAY
funskills.skilloskkk.fun	skilloskkk.fun	fun	NODNS	DEAD	other	THROWAWAY
blog.hzy0613.dpdns.org	dpdns.org	org	108.178.23.116	LIVE-INAP	other	CORE
get.betfreeonline.xyz	betfreeonline.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
flyinmob.com	flyinmob.com	com	108.178.23.116	LIVE-INAP	other	CORE
get.landingly.store	landingly.store	store	NODNS	DEAD	offer	THROWAWAY
aff.tur1n.it	tur1n.it	it	108.178.23.116	LIVE-INAP	affiliate	THROWAWAY
get.freshgreens.garden	freshgreens.garden	garden	108.178.23.116	LIVE-INAP	offer	THROWAWAY
getoffer.letsactive.xyz	letsactive.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
get.ofgreat.club	ofgreat.club	club	NODNS	DEAD	offer	THROWAWAY
get.mobgifts.cfd	mobgifts.cfd	cfd	108.178.23.116	LIVE-INAP	offer	THROWAWAY
get.ziuixeois.online	ziuixeois.online	online	108.178.23.116	LIVE-INAP	offer	THROWAWAY
bananini.tungtungsahuu.online	tungtungsahuu.online	online	NODNS	DEAD	other	THROWAWAY
get.xenvo.cyou	xenvo.cyou	cyou	108.178.23.116	LIVE-INAP	offer	THROWAWAY
games.playzix.com	playzix.com	com	108.178.23.116	LIVE-INAP	other	CORE
girl.chatgree.club	chatgree.club	club	NODNS	DEAD	other	THROWAWAY
ftb.thinkingguru.com	thinkingguru.com	com	108.178.23.116	LIVE-INAP	other	CORE
gmt.483183.xyz	483183.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
go.bdzone24.store	bdzone24.store	store	108.178.23.116	LIVE-INAP	redirector	THROWAWAY
go.click-2-offer.com	click-2-offer.com	com	108.178.23.116	LIVE-INAP	redirector	CORE
freetry.i69mb.com	i69mb.com	com	108.178.23.116	LIVE-INAP	other	CORE
go.boosthq2.online	boosthq2.online	online	108.178.23.116	LIVE-INAP	redirector	THROWAWAY
dreamoffers.harshaditya.com	harshaditya.com	com	NODNS	DEAD	offer	CORE
click.fallbacksmart1.life	fallbacksmart1.life	life	104.219.250.37	LIVE-NAMECHEAP-PHX	tracker	THROWAWAY
ftc.thinkingguru.com	thinkingguru.com	com	108.178.23.116	LIVE-INAP	other	CORE
go.pulsetrck.link	pulsetrck.link	link	NODNS	DEAD	redirector	THROWAWAY
free.mobile-run.com	mobile-run.com	com	NODNS	DEAD	offer	CORE
go.rew76.com	rew76.com	com	108.178.23.116	LIVE-INAP	redirector	CORE
grace.congeniallinkway.life	congeniallinkway.life	life	108.178.23.116	LIVE-INAP	other	THROWAWAY
go.your-premium-gift.online	your-premium-gift.online	online	108.178.23.116	LIVE-INAP	redirector	THROWAWAY
gullsident.refrome.cfd	refrome.cfd	cfd	NODNS	DEAD	other	THROWAWAY
h1.fkeiv.click	fkeiv.click	click	108.178.23.116	LIVE-INAP	other	THROWAWAY
gullsidet.refrome.cfd	refrome.cfd	cfd	NODNS	DEAD	other	THROWAWAY
hgv.mktginland31.site	mktginland31.site	site	NODNS	DEAD	other	THROWAWAY
ggs.athleticprotee.com	athleticprotee.com	com	NODNS	DEAD	other	CORE
guru.leadseagle.shop	leadseagle.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
go.redio-mant.shop	redio-mant.shop	shop	NODNS	DEAD	redirector	THROWAWAY
halilibul.site	halilibul.site	site	108.178.23.116	LIVE-INAP	other	THROWAWAY
happy.613873.xyz	613873.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
in.backup-intra85mo.xyz	backup-intra85mo.xyz	xyz	NODNS	DEAD	other	THROWAWAY
click.wslvowaws.top	wslvowaws.top	top	104.219.250.37	LIVE-NAMECHEAP-PHX	tracker	THROWAWAY
incoming.akademyloaded.online	akademyloaded.online	online	108.178.23.116	LIVE-INAP	other	THROWAWAY
good.shoujisail.com	shoujisail.com	com	NODNS	DEAD	other	CORE
getyourchances.sweepstakeslands.com	sweepstakeslands.com	com	NODNS	DEAD	other	CORE
go.trknest.com	trknest.com	com	108.178.23.116	LIVE-INAP	redirector	CORE
io.offersmate.xyz	offersmate.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
ixo.andom11.cyou	andom11.cyou	cyou	NODNS	DEAD	other	THROWAWAY
its.num-1.site	num-1.site	site	NODNS	DEAD	other	THROWAWAY
ghs.banusgolf.com	banusgolf.com	com	NODNS	DEAD	other	CORE
jump.prodigypixels.quest	prodigypixels.quest	quest	NODNS	DEAD	redirector	THROWAWAY
jenny.cosmicriverpath.pics	cosmicriverpath.pics	pics	108.178.23.116	LIVE-INAP	other	THROWAWAY
affiliate.affmaketelling.pro	affmaketelling.pro	pro	NODNS	DEAD	affiliate	THROWAWAY
kaverod.kaverod.shop	kaverod.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
kivorax.kivorax.shop	kivorax.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
just.zupertrakk.com	zupertrakk.com	com	108.178.23.116	LIVE-INAP	other	CORE
k.uahksmjaisuw.site	uahksmjaisuw.site	site	NODNS	DEAD	other	THROWAWAY
ktm.klyvix.link	klyvix.link	link	NODNS	DEAD	other	THROWAWAY
go.searchpage.net	searchpage.net	net	NODNS	DEAD	redirector	CORE
landingly.store	landingly.store	store	NODNS	DEAD	other	THROWAWAY
go.wflirt.com	wflirt.com	com	192.250.228.189	LIVE-ALT	redirector	CORE
aff.lifeleads13515.xyz	lifeleads13515.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
here.giantmournerpreface.com	giantmournerpreface.com	com	108.178.23.116	LIVE-INAP	other	CORE
leads1.bountyads.store	bountyads.store	store	NODNS	DEAD	other	THROWAWAY
land.ocean-desert.store	ocean-desert.store	store	NODNS	DEAD	other	THROWAWAY
link.mytopcontent.site	mytopcontent.site	site	NODNS	DEAD	other	THROWAWAY
leadss.mediabounty.store	mediabounty.store	store	NODNS	DEAD	other	THROWAWAY
lim44.fluxora.lol	fluxora.lol	lol	108.178.23.116	LIVE-INAP	other	THROWAWAY
live.new-2023.site	new-2023.site	site	NODNS	DEAD	other	THROWAWAY
live.mal-2026.store	mal-2026.store	store	108.178.23.116	LIVE-INAP	other	THROWAWAY
gift.ts551.com	ts551.com	com	108.178.23.116	LIVE-INAP	offer	CORE
lord.lordbasla.icu	lordbasla.icu	icu	NODNS	DEAD	other	THROWAWAY
love.foswfhwsdfwf.xyz	foswfhwsdfwf.xyz	xyz	NODNS	DEAD	other	THROWAWAY
love.erfowefuawsde.xyz	erfowefuawsde.xyz	xyz	NODNS	DEAD	other	THROWAWAY
m1.trxmozr127.xyz	trxmozr127.xyz	xyz	NODNS	DEAD	other	THROWAWAY
mabroook.antelrabe7.xyz	antelrabe7.xyz	xyz	NODNS	DEAD	other	THROWAWAY
free.likeslottery.org	likeslottery.org	org	NODNS	DEAD	offer	CORE
master.montizer.tech	montizer.tech	tech	NODNS	DEAD	other	THROWAWAY
m.cloudmetricapi.shop	cloudmetricapi.shop	shop	108.178.23.116	LIVE-INAP	offer	THROWAWAY
love.bestaffoffer.com	bestaffoffer.com	com	NODNS	DEAD	offer	CORE
m1.full-prizes.com	full-prizes.com	com	NODNS	DEAD	offer	CORE
merkulashop.merkulashop.shop	merkulashop.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
lux.pulsarcricket.com	pulsarcricket.com	com	NODNS	DEAD	other	CORE
merca.terravemelha.bond	terravemelha.bond	bond	NODNS	DEAD	other	THROWAWAY
m.fansaty.online	fansaty.online	online	108.178.23.116	LIVE-INAP	offer	THROWAWAY
microsoft.com-if.club	com-if.club	club	NODNS	DEAD	other	THROWAWAY
load.nude-locals.com	nude-locals.com	com	NODNS	DEAD	other	CORE
mkt.zifty.link	zifty.link	link	NODNS	DEAD	other	THROWAWAY
mktag.kivarna.link	kivarna.link	link	NODNS	DEAD	other	THROWAWAY
many.newgiftupdates.com	newgiftupdates.com	com	NODNS	DEAD	offer	CORE
lp.sprint-spark.com	sprint-spark.com	com	NODNS	DEAD	other	CORE
m.lucky4you.xyz	lucky4you.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
m.myhot10.online	myhot10.online	online	108.178.23.116	LIVE-INAP	offer	THROWAWAY
mobbin.online	mobbin.online	online	NODNS	DEAD	other	THROWAWAY
free.applea.cn	applea.cn	cn	NODNS	DEAD	offer	THROWAWAY
mo.bestmoney.online	bestmoney.online	online	13.248.169.48	LIVE-ALT	other	THROWAWAY
gall.digihone.com	digihone.com	com	108.178.23.116	LIVE-INAP	other	CORE
mo.dailycrest.xyz	dailycrest.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
master.cloud-offers.com	cloud-offers.com	com	108.178.23.116	LIVE-INAP	offer	CORE
mon3.tujianshe.website	tujianshe.website	website	108.178.23.116	LIVE-INAP	other	THROWAWAY
money.bankprofits.xyz	bankprofits.xyz	xyz	NODNS	DEAD	other	THROWAWAY
mon.comphp.xyz	comphp.xyz	xyz	NODNS	DEAD	other	THROWAWAY
lux.legendarystumps.com	legendarystumps.com	com	NODNS	DEAD	other	CORE
mn.zk260527ah.cfd	zk260527ah.cfd	cfd	108.178.23.116	LIVE-INAP	other	THROWAWAY
mon.cashmelink.click	cashmelink.click	click	13.248.169.48	LIVE-ALT	other	THROWAWAY
lv1b.accessflows.cc	accessflows.cc	cc	NODNS	DEAD	other	CORE
go.qiuqiu12223.top	qiuqiu12223.top	top	108.178.23.116	LIVE-INAP	redirector	THROWAWAY
imu.unilorinalumni.org	unilorinalumni.org	org	2.59.170.20	LIVE-WORLDSTREAM	other	CORE
mont.hotlifestylenews.info	hotlifestylenews.info	info	NODNS	DEAD	other	THROWAWAY
mpm.sevenaosabre.makeup	sevenaosabre.makeup	makeup	NODNS	DEAD	other	THROWAWAY
mrx8valoti.mrx8valoti.cfd	mrx8valoti.cfd	cfd	NODNS	DEAD	other	THROWAWAY-DGA
m.18vc.ccwu.cc	ccwu.cc	cc	108.178.23.116	LIVE-INAP	offer	CORE
kc.toskys.cn	toskys.cn	cn	108.178.23.116	LIVE-INAP	other	THROWAWAY
m.feedpost.net	feedpost.net	net	NODNS	DEAD	offer	CORE
my.topmobileoffers.store	topmobileoffers.store	store	NODNS	DEAD	offer	THROWAWAY
mtz.impacthub.ph	impacthub.ph	ph	108.178.23.116	LIVE-INAP	other	THROWAWAY
n.bestgameace.xyz	bestgameace.xyz	xyz	NODNS	DEAD	other	THROWAWAY
net.beatmobi.com	beatmobi.com	com	108.178.23.116	LIVE-INAP	other	CORE
new.bonusappscenter.online	bonusappscenter.online	online	108.178.23.116	LIVE-INAP	offer	THROWAWAY
mon.pronaichat.com	pronaichat.com	com	108.178.23.116	LIVE-INAP	other	CORE
fp.profree.info	profree.info	info	NODNS	DEAD	other	THROWAWAY
my.usafinds.site	usafinds.site	site	108.178.23.116	LIVE-INAP	other	THROWAWAY
landing.trckapp.xyz	trckapp.xyz	xyz	2.59.170.20	LIVE-WORLDSTREAM	other	THROWAWAY
new.s4nd3r.ga	s4nd3r.ga	ga	NODNS	DEAD	other	THROWAWAY
m.surcool.com	surcool.com	com	NODNS	DEAD	offer	CORE
go.gft23.com	gft23.com	com	78.157.209.171	LIVE-ALT	redirector	CORE
news-disband-dissunder-goddammed.xyz	news-disband-dissunder-goddammed.xyz	xyz	NODNS	DEAD	other	THROWAWAY
news-splenium-disharmonized-amorphinism.xyz	news-splenium-disharmonized-amorphinism.xyz	xyz	NODNS	DEAD	other	THROWAWAY
nl.adaddict.info	adaddict.info	info	NODNS	DEAD	other	THROWAWAY
ngabul.halilibul.site	halilibul.site	site	108.178.23.116	LIVE-INAP	other	THROWAWAY
nnn.mzoffermzgpt.cfd	mzoffermzgpt.cfd	cfd	NODNS	DEAD	offer	THROWAWAY
n.makedeal.fun	makedeal.fun	fun	NODNS	DEAD	other	THROWAWAY
mr4.sswtrack.com	sswtrack.com	com	NODNS	DEAD	other	CORE
node.apex-cdn.xyz	apex-cdn.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
mon.mediaflowtrack.com	mediaflowtrack.com	com	108.178.23.116	LIVE-INAP	other	CORE
id.makemoremid.cfd	makemoremid.cfd	cfd	NODNS	DEAD	other	THROWAWAY
mm.dreems-gift.com	dreems-gift.com	com	NODNS	DEAD	offer	CORE
m.conm-mobile-cleaner.net	conm-mobile-cleaner.net	net	172.239.193.161	LIVE-ALT	offer	CORE
nt.winerii.xyz	winerii.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
off2.gitmobph.xyz	gitmobph.xyz	xyz	NODNS	DEAD	other	THROWAWAY
new.f0c4.gq	f0c4.gq	gq	NODNS	DEAD	other	THROWAWAY
offer.m5555.shop	m5555.shop	shop	108.178.23.116	LIVE-INAP	offer	THROWAWAY
notifications.todayspushdeal.com	todayspushdeal.com	com	NODNS	DEAD	other	CORE
mon2.tujianshe.com	tujianshe.com	com	108.178.23.116	LIVE-INAP	other	CORE
offer.ooilim.xyz	ooilim.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
